# Checkerboard Training Log
# Started: SystemTime { tv_sec: 1767956824, tv_nsec: 254311820 }
# Model: 3040 gates
# epoch,soft_loss,hard_loss,accuracy,best_accuracy,elapsed_s
390,105.211809,234.0000,0.531250,0.601562,1308.6
391,105.008866,234.0000,0.531250,0.601562,1311.8
392,105.247021,235.0000,0.546875,0.601562,1315.1
393,105.213538,236.0000,0.542969,0.601562,1318.4
394,104.994431,234.0000,0.539062,0.601562,1321.7
395,104.933179,235.0000,0.542969,0.601562,1325.0
396,104.905148,235.0000,0.539062,0.601562,1328.3
397,104.922446,234.0000,0.539062,0.601562,1331.6
398,104.856144,237.0000,0.546875,0.601562,1334.9
399,105.074771,235.0000,0.542969,0.601562,1338.2
400,104.846144,236.0000,0.554688,0.601562,1341.5
401,104.836963,231.0000,0.539062,0.601562,1344.8
402,104.630511,234.0000,0.531250,0.601562,1348.1
403,104.608965,232.0000,0.539062,0.601562,1351.4
404,104.541913,234.0000,0.531250,0.601562,1354.7
405,104.582082,236.0000,0.550781,0.601562,1357.9
406,104.482374,233.0000,0.542969,0.601562,1361.2
407,104.317244,232.0000,0.542969,0.601562,1364.6
408,104.179942,230.0000,0.539062,0.601562,1367.8
409,104.064325,232.0000,0.558594,0.601562,1371.1
410,103.910322,233.0000,0.539062,0.601562,1374.4
411,103.749984,236.0000,0.535156,0.601562,1377.7
412,103.531752,236.0000,0.542969,0.601562,1380.9
413,103.290317,232.0000,0.535156,0.601562,1384.2
414,103.076354,235.0000,0.550781,0.601562,1387.5
415,102.867820,236.0000,0.531250,0.601562,1390.8
416,102.692034,231.0000,0.539062,0.601562,1394.1
417,102.324388,231.0000,0.546875,0.601562,1397.4
418,102.074832,232.0000,0.550781,0.601562,1400.7
419,101.523111,238.0000,0.546875,0.601562,1403.9
420,100.978578,235.0000,0.535156,0.601562,1407.2
421,100.584344,232.0000,0.609375,0.609375,1410.5
422,99.786090,224.0000,0.625000,0.625000,1413.8
423,99.549475,244.0000,0.605469,0.625000,1417.1
424,99.126844,230.0000,0.511719,0.625000,1420.4
425,98.477063,256.0000,0.593750,0.625000,1423.7
426,97.234509,208.0000,0.585938,0.625000,1427.0
427,96.926906,207.0000,0.621094,0.625000,1430.2
428,96.200383,199.0000,0.613281,0.625000,1433.5
429,96.190897,193.0000,0.609375,0.625000,1436.8
430,95.339473,194.0000,0.621094,0.625000,1440.1
431,95.653568,202.0000,0.621094,0.625000,1443.3
432,95.434056,195.0000,0.613281,0.625000,1446.6
433,95.658551,194.0000,0.609375,0.625000,1449.9
434,94.132565,194.0000,0.621094,0.625000,1453.2
435,93.686380,199.0000,0.593750,0.625000,1456.5
436,94.083589,197.0000,0.605469,0.625000,1459.8
437,92.662903,201.0000,0.617188,0.625000,1463.1
438,92.829902,194.0000,0.628906,0.628906,1466.4
439,91.269752,194.0000,0.621094,0.628906,1469.7
440,92.801143,198.0000,0.609375,0.628906,1472.9
441,90.806538,199.0000,0.617188,0.628906,1476.3
442,91.165104,205.0000,0.593750,0.628906,1479.5
443,89.348008,201.0000,0.605469,0.628906,1482.9
444,90.618405,205.0000,0.640625,0.640625,1486.2
445,89.310138,183.0000,0.636719,0.640625,1489.4
446,87.753502,184.0000,0.640625,0.640625,1492.7
447,83.404976,181.0000,0.652344,0.652344,1496.0
448,88.767171,183.0000,0.640625,0.652344,1499.3
449,85.863879,182.0000,0.644531,0.652344,1502.6
450,84.902960,182.0000,0.644531,0.652344,1505.9
451,86.039573,183.0000,0.632812,0.652344,1509.2
452,81.845644,184.0000,0.644531,0.652344,1512.5
453,82.697232,181.0000,0.644531,0.652344,1515.8
454,86.763816,179.0000,0.644531,0.652344,1519.1
455,86.408142,189.0000,0.652344,0.652344,1522.4
456,78.649389,181.0000,0.644531,0.652344,1525.7
457,88.625827,181.0000,0.648438,0.652344,1529.0
458,82.646812,182.0000,0.656250,0.656250,1532.3
459,77.913187,180.0000,0.632812,0.656250,1535.5
460,85.326633,179.0000,0.652344,0.656250,1538.8
461,81.453127,185.0000,0.636719,0.656250,1542.1
462,86.319369,183.0000,0.613281,0.656250,1545.4
463,76.523456,182.0000,0.648438,0.656250,1548.7
464,83.001343,182.0000,0.636719,0.656250,1552.0
465,77.225688,181.0000,0.656250,0.656250,1555.2
466,83.332553,185.0000,0.648438,0.656250,1558.5
467,77.735704,179.0000,0.652344,0.656250,1561.8
468,67.848735,180.0000,0.621094,0.656250,1565.1
469,82.736028,179.0000,0.652344,0.656250,1568.4
470,76.065118,183.0000,0.652344,0.656250,1571.6
471,81.754635,182.0000,0.605469,0.656250,1574.9
472,80.782832,185.0000,0.652344,0.656250,1578.2
473,74.467824,177.0000,0.648438,0.656250,1581.5
474,80.398058,177.0000,0.644531,0.656250,1584.8
475,75.718495,177.0000,0.644531,0.656250,1588.1
476,70.054772,178.0000,0.644531,0.656250,1591.4
477,70.540306,184.0000,0.648438,0.656250,1594.7
478,80.291356,190.0000,0.640625,0.656250,1598.0
479,67.417644,185.0000,0.628906,0.656250,1601.3
480,73.453175,178.0000,0.644531,0.656250,1604.6
481,69.117256,182.0000,0.648438,0.656250,1607.9
482,57.572996,182.0000,0.648438,0.656250,1611.1
483,51.640330,181.0000,0.628906,0.656250,1614.4
484,58.754316,186.0000,0.636719,0.656250,1617.7
485,64.056341,182.0000,0.648438,0.656250,1621.0
486,73.842805,185.0000,0.628906,0.656250,1624.3
487,53.392713,186.0000,0.648438,0.656250,1627.6
488,50.481244,188.0000,0.609375,0.656250,1630.9
489,59.225170,181.0000,0.933594,0.933594,1634.2
490,58.854396,80.0000,0.777344,0.933594,1637.5
491,33.722851,64.0000,0.898438,0.933594,1640.8
492,46.936435,78.0000,0.832031,0.933594,1644.1
493,60.215051,92.0000,0.867188,0.933594,1647.3
494,55.189563,78.0000,0.781250,0.933594,1650.6
495,33.795086,50.0000,0.828125,0.933594,1653.9
496,48.137825,76.0000,0.921875,0.933594,1657.2
497,32.709407,48.0000,0.882812,0.933594,1660.5
498,32.341215,43.0000,0.882812,0.933594,1663.8
499,27.690803,36.0000,0.972656,0.972656,1667.1
500,34.292842,60.0000,0.820312,0.972656,1670.4
501,28.232974,54.0000,0.882812,0.972656,1673.7
502,26.091009,74.0000,0.937500,0.972656,1677.0
503,32.449205,98.0000,0.898438,0.972656,1680.3
504,27.077129,80.0000,0.820312,0.972656,1683.6
505,36.966663,54.0000,0.921875,0.972656,1686.9
506,16.659406,74.0000,0.898438,0.972656,1690.2
507,20.635212,36.0000,0.914062,0.972656,1693.5
508,15.018418,44.0000,0.859375,0.972656,1696.8
509,18.131833,58.0000,0.992188,0.992188,1700.0
510,23.937825,106.0000,0.972656,0.992188,1703.3
511,14.388444,0.0000,0.953125,0.992188,1706.6
512,9.579699,8.0000,1.000000,1.000000,1709.9
513,9.913552,2.0000,1.000000,1.000000,1713.2
514,13.415744,3.0000,1.000000,1.000000,1716.5
515,11.287717,24.0000,0.984375,1.000000,1719.8
516,6.639229,3.0000,1.000000,1.000000,1723.1
517,9.498541,9.0000,0.988281,1.000000,1726.4
